source,exercise,rep,faults,covered,additions,contradictions,words,coaching
eval_log_v2.csv,squat,1,,,,,6,"Excellent start, keep the momentum going!"
eval_log_v2.csv,squat,2,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,3,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,4,,,,,8,"Keep it up, you're in a great rhythm!"
eval_log_v2.csv,squat,5,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,6,,,,,5,"Excellent form, keep it up!"
eval_log_v2.csv,squat,7,,,,,11,"Great job, you're maintaining perfect form and control throughout the exercise."
eval_log_v2.csv,squat,8,,,,,5,"Good form, keep it up!"
eval_log_v2.csv,squat,9,,,,,10,"Great job, you're maintaining form and control, keep it up!"
eval_log_v2.csv,squat,10,,,,,10,"Great job, you're keeping a strong pace, keep it up!"
eval_log_v2.csv,squat,11,depth,yes,,,17,Keep working on getting your knees to lower down to parallel for that full range of motion.
eval_log_v2.csv,squat,12,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,13,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,14,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,15,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,1,,,,,5,"Great start, keep it up!"
eval_log_v2.csv,squat,2,,,,,7,"Keep it up, you're on a roll!"
eval_log_v2.csv,squat,3,,,,,5,"Excellent form, keep it up!"
eval_log_v2.csv,squat,4,,,,,9,"Great form, keep it up, you're on a roll!"
eval_log_v2.csv,squat,5,,,,,4,"Solid form, keep pushing!"
eval_log_v2.csv,squat,6,,,,,6,"Great job, you're maintaining perfect form!"
eval_log_v2.csv,squat,7,,,,,9,"Great form, keep it up, you're on a roll!"
eval_log_v2.csv,squat,8,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,9,,,,,6,"Great job, you're maintaining perfect form!"
eval_log_v2.csv,squat,10,,,,,5,"Great job, you're crushing it!"
eval_log_v2.csv,squat,11,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,12,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,1,,,,,5,"Great start, keep it up!"
eval_log_v2.csv,squat,2,,,,,5,"Great job, you're on track!"
eval_log_v2.csv,squat,3,,,,,5,"Excellent form, keep pushing through!"
eval_log_v2.csv,squat,4,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,5,,,,,9,"Excellent form, keep pushing through, you're on a roll!"
eval_log_v2.csv,squat,6,,,,,6,"Great job, you're maintaining perfect form!"
eval_log_v2.csv,squat,7,,,,,9,"Great form, keep it up, you're on a roll!"
eval_log_v2.csv,squat,8,,,,,6,"Great job, you're maintaining perfect form!"
eval_log_v2.csv,squat,9,,,,,8,"Keep it up, you're in a great rhythm!"
eval_log_v2.csv,squat,10,,,,,10,"Great job, you're keeping that form strong, keep it up!"
eval_log_v2.csv,squat,11,,,,,4,"Great form, keep pushing!"
eval_log_v2.csv,squat,12,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,13,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,14,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,15,,,,,7,"Excellent form, keep pushing, you're doing great!"
eval_log_v2.csv,squat,16,,,,,7,"Excellent form, keep pushing, you're doing great!"
eval_log_v2.csv,squat,17,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,18,,,,,7,"Excellent form, keep pushing, you're doing great!"
eval_log_v2.csv,squat,19,,,,,10,"Excellent form, keep it up, you're crushing this last set!"
eval_log_v2.csv,squat,20,,,,,5,"Great job, you're finishing strong!"
eval_log_v2.csv,squat,1,,,,,6,"Great start, keep the momentum going!"
eval_log_v2.csv,squat,2,,,,,5,"Nice form, keep it up!"
eval_log_v2.csv,squat,3,,,,,6,"Keep going, you're right on pace!"
eval_log_v2.csv,squat,4,,,,,7,"Keep it up, you're maintaining great form!"
eval_log_v2.csv,squat,5,,,,,8,"Keep it up, you're executing the movement perfectly!"
eval_log_v2.csv,squat,6,,,,,14,"Great job, you're maintaining good form and control throughout this set, keep it up!"
eval_log_v2.csv,squat,7,,,,,9,"Keep the momentum going, great job on that one!"
eval_log_v2.csv,squat,8,,,,,7,"Great form, keep pushing, you're doing excellent!"
eval_log_v2.csv,squat,9,,,,,5,"Excellent form, keep it up!"
eval_log_v2.csv,squat,10,,,,,8,"Great form, keep it up, you're crushing this!"
eval_log_v2.csv,squat,11,,,,,4,"Great form, keep pushing!"
eval_log_v2.csv,squat,12,,,,,9,"Great job, you're on a roll, keep it up!"
eval_log_v2.csv,squat,13,,,,,6,"Great job, you're right on pace!"
eval_log_v2.csv,squat,14,,,,,6,"Great job, you're on a roll!"
eval_log_v2.csv,squat,15,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,16,,,,,7,"Excellent form, keep pushing, you're crushing this!"
eval_log_v2.csv,squat,17,,,,,8,"Great job, keep it up, you're crushing it!"
eval_log_v2.csv,squat,18,,,,,7,"Excellent form, keep pushing, you're doing great!"
eval_log_v2.csv,squat,19,,,,,4,"Great form, keep pushing!"
eval_log_v2.csv,squat,20,,,,,10,"Great job, you're crushing it - keep the momentum going!"
eval_log_v2.csv,squat,1,,,,,6,"Great start, keep the momentum going!"
eval_log_v2.csv,squat,2,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,3,,,,,9,"Great job, keep it up, you're on a roll!"
eval_log_v2.csv,squat,4,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,5,,,,,4,"Excellent form, keep pushing!"
eval_log_v2.csv,squat,6,,,,,11,"Keep it up, you're on a roll, nice form and pace!"
eval_log_v2.csv,squat,7,,,,,5,"Perfect form, keep it up!"
eval_log_v2.csv,squat,8,,,,,11,"Great job, you're maintaining good form and pace, keep it up!"
eval_log_v2.csv,squat,9,,,,,4,"Excellent form, keep pushing!"
eval_log_v2.csv,squat,10,,,,,6,"Keep going, you're on a roll!"
eval_log_v2.csv,squat,11,,,,,9,"Excellent form, keep pushing through - you're doing great!"
eval_log_v2.csv,squat,12,,,,,5,"Excellent form, keep pushing through!"
eval_log_v2.csv,squat,13,,,,,8,"Great job, you're maintaining a strong form throughout!"
eval_log_v2.csv,squat,14,,,,,5,"Great job, you're crushing it!"
eval_log_v2.csv,squat,15,,,,,9,"Great job, you're crushing it, keep the momentum going!"
eval_log_v2.csv,squat,16,,,,,9,"Great job, you're maintaining strong form throughout this set!"
eval_log_v2.csv,squat,17,,,,,7,"Keep it up, you're crushing this set!"
eval_log_v2.csv,squat,18,,,,,11,"Great job, you're crushing it - keep up the strong pace!"
eval_log_v2.csv,squat,19,,,,,10,"Great job, you're crushing it - keep the momentum going!"
eval_log_v2.csv,squat,20,,,,,5,"Great job, you're finishing strong!"
eval_log_v2.csv,squat,1,,,,,5,"Strong start, keep it up!"
eval_log_v2.csv,squat,2,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,3,,,,,5,"Excellent form, keep it up!"
eval_log_v2.csv,squat,4,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,5,,,,,6,"Keep it up, you're doing great!"
eval_log_v2.csv,squat,6,,,,,9,"Great job, you're maintaining perfect form, keep it up!"
eval_log_v2.csv,squat,7,,,,,5,"Great job, keep it up!"
eval_log_v2.csv,squat,8,,,,,7,"Keep it up, you're on a roll!"
eval_log_v2.csv,squat,9,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,10,,,,,7,"Excellent form, keep pushing, you're crushing this!"
eval_log_v2.csv,squat,11,,,,,5,"Great form, keep it up!"
eval_log_v2.csv,squat,12,,,,,7,"Great job, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,13,,,,,7,"Keep it up, you're crushing this set!"
eval_log_v2.csv,squat,14,,,,,8,"Great form, keep it up, you're doing fantastic!"
eval_log_v2.csv,squat,15,,,,,7,"Great form, keep pushing, you're doing fantastic!"
eval_log_v2.csv,squat,16,,,,,4,"Great form, keep pushing!"
eval_log_v2.csv,squat,17,,,,,10,"Great job, you're maintaining your form perfectly, keep it up!"
eval_log_v2.csv,squat,18,,,,,5,"Great job, you're crushing it!"
eval_log_v2.csv,squat,19,,,,,5,"Great job, you're crushing it!"
eval_log_v2.csv,squat,20,,,,,12,"Great job, you're finishing strong! Keep it up, you're crushing this workout!"
eval_log_v2.csv,squat,1,depth,yes,,,16,"Great effort, remember to lower down to parallel to get the full benefit of the movement."
eval_log_v2.csv,squat,2,depth,yes,core,,14,"Great effort, remember to lower down to a full parallel and engage your core."
eval_log_v2.csv,squat,3,depth,yes,"ground, hands or calves",,16,"Remember to focus on deeper depth, aiming for your knees to touch the ground this time."
eval_log_v2.csv,squat,4,depth,yes,knee alignment,,18,"Next rep, focus on keeping your knees in line and lowering down to a deeper, more parallel position."
eval_log_v2.csv,squat,5,depth,yes,,,18,"Great effort, remember to lower down to a full parallel to get the most out of the movement."
eval_log_v2.csv,squat,6,depth,missing depth,"ground, hands or calves; knee alignment",,16,Keep your knees tracking over your toes and focus on reaching your hips to the ground.
eval_log_v2.csv,squat,7,depth,yes,,,15,"Great effort, remember to lower down all the way to parallel on the next one."
eval_log_v2.csv,squat,8,depth,yes,core,,15,"Great effort, remember to lower down to parallel and engage your core for better control."
eval_log_v2.csv,squat,9,depth,yes,core,,16,"Keep going, remember to lower down to parallel and engage your core to maintain proper form."
eval_log_v2.csv,squat,10,depth,yes,,,17,"Great effort, remember to lower down all the way to a full parallel on the next one."
eval_log_v2.csv,squat,11,depth,yes,back,depth,13,"Good depth, focus on lowering down to parallel, and keep your back straight."
eval_log_v2.csv,squat,12,depth,yes,"ground, hands or calves",,17,"Great effort, remember to lower down and reach your knees to the ground on the next rep."
eval_log_v2.csv,squat,13,depth,yes,core,,15,"Good job on the squat, remember to lower down to parallel and engage your core."
eval_log_v2.csv,squat,14,depth,yes,knee alignment,,14,"Remember to lower down to a full parallel, keeping your knees behind your toes."
eval_log_v2.csv,squat,15,depth,yes,back,,13,"Great effort, remember to lower down to parallel and keep your back straight."
eval_log_v2.csv,squat,16,depth,yes,legs and hips,,15,"Great job, keep working on reaching that full depth by engaging your legs and hips."
eval_log_v2.csv,squat,17,depth,yes,knee alignment,,17,"Great job, remember to keep your knees over your toes and lower down to a full parallel."
eval_log_v2.csv,squat,18,depth,yes,,,14,"Keep going, and focus on bringing your knees all the way down to parallel."
eval_log_v2.csv,squat,19,depth,yes,glutes,,16,"Great effort, remember to lower down to parallel and engage your glutes on the next rep."
eval_log_v2.csv,squat,20,depth,yes,,,12,"Great effort, remember to lower down to parallel on the next one."
eval_log_v2.csv,squat,1,depth,yes,straight line,,18,"Next rep, focus on lowering down to a full parallel, keeping a straight line from head to heels."
eval_log_v2.csv,squat,2,depth,yes,,,16,"Great effort, remember to lower your body all the way down to a full parallel squat."
eval_log_v2.csv,squat,3,depth,yes,,depth,13,"Great effort, remember to lower down to parallel by fully extending your legs."
eval_log_v2.csv,squat,4,depth,yes,,,14,"Great effort, but remember to lower down to a full parallel with your hips."
eval_log_v2.csv,squat,5,depth,missing depth,knee alignment,,13,"Keep going, and focus on reaching your knees to your toes this time."
eval_log_v2.csv,squat,6,depth,yes,core,,15,"Great effort, remember to lower down to parallel and engage your core for better control."
eval_log_v2.csv,squat,7,depth,yes,"ground, hands or calves",,13,"Great effort, remember to lower down and reach your knees to the ground."
eval_log_v2.csv,squat,8,depth,yes,,,10,"Good job, remember to lower down to parallel next time."
eval_log_v2.csv,squat,9,depth,yes,knee alignment,,17,"Great effort, remember to lower down to parallel and keep your knees in line with your toes."
