client_ts,server_ts,mode,exercise,detected,detect_conf,rep,faults,faults_cued,depth_ok,trunk_ok,knee_travel_ok,min_knee,max_trunk,max_knee_travel,quality,partial,analysis_ms,verdict_ms,queue_ms,llm_ms,cue_ms,coaching
1790365906467,1790365907136.0,auto,squat,squat,0.928,1,,,True,True,,66.2,35.9,,100,False,0.09,1.7,0.5,666.7,669.0,"Great start, keep it up!"
1790365909500,1790365910516.0,auto,squat,squat,0.975,2,,,True,True,,75.9,36.4,,100,False,0.03,1.3,0.2,1014.5,1016.0,"Great job, you're on a roll, keep it up!"
1790365912401,1790365913069.7,auto,squat,squat,0.976,3,,,True,True,,71.7,33.6,,100,False,0.07,1.3,0.4,667.0,668.7,"Excellent form, keep pushing through!"
1790365915450,1790365916105.9,auto,squat,squat,0.975,4,,,True,True,,73.4,35.4,,100,False,0.04,1.2,0.5,654.2,655.9,"Excellent form, keep it up!"
1790365918567,1790365919223.5,auto,squat,squat,0.977,5,,,True,True,,75.7,33.8,,100,False,0.03,0.6,0.2,655.6,656.5,"Nice form, keep it up!"
1790365921727,1790365922674.6,auto,squat,squat,0.975,6,,,True,True,,76.1,34.6,,100,False,0.06,1.5,0.4,945.7,947.6,"Excellent form, keep pushing through, you're doing great!"
1790365925068,1790365926080.1,auto,squat,squat,0.975,7,,,True,True,,78.2,35.9,,100,False,0.03,1.3,0.5,1010.3,1012.1,"Great job, you're on a roll, keep it up!"
1790365928069,1790365928694.4,auto,squat,squat,0.975,8,,,True,True,,72.0,35.7,,100,False,0.03,1.9,0.2,623.2,625.4,"Excellent form, keep pushing!"
1790365931415,1790365932020.4,auto,squat,squat,0.974,9,,,True,True,,76.3,33.0,,100,False,0.05,1.6,0.4,603.3,605.4,"Great form, keep pushing!"
1790365934700,1790365935307.3,auto,squat,squat,0.973,10,,,True,True,,72.2,35.3,,100,False,0.02,0.8,0.2,606.4,607.3,"Great form, keep pushing!"
1790365948701,1790365949812.9,auto,lunge,lunge,0.939,1,,,True,True,True,73.8,9.1,-0.47,100,False,0.1,2.4,0.6,1108.9,1111.9,"Great job, perfect form on that first lunge, keep it up!"
1790365951895,1790365952603.3,auto,lunge,lunge,0.97,2,,,True,True,True,80.5,12.0,-0.6,100,False,0.03,1.4,0.4,706.5,708.3,"Great job, keep that form consistent!"
1790365955384,1790365956052.7,auto,lunge,lunge,0.957,3,,,True,True,True,76.0,14.4,-0.69,100,False,0.04,0.7,0.3,667.6,668.7,"Great form, keep it up!"
1790365958899,1790365959556.1,auto,lunge,lunge,0.964,4,,,True,True,True,79.7,10.6,-0.64,100,False,0.07,2.0,0.5,654.5,657.1,"Great form, keep it up!"
1790365961980,1790365962631.1,auto,lunge,lunge,0.956,5,,,True,True,True,76.3,12.1,-0.65,100,False,0.04,1.1,0.2,649.8,651.1,"Excellent form, keep it up!"
1790365965101,1790365965820.8,auto,lunge,lunge,0.958,6,,,True,True,True,78.0,11.0,-0.58,100,False,0.07,1.6,0.9,717.2,719.8,"Great job, keep that form consistent!"
1790365967967,1790365968646.6,auto,lunge,lunge,0.961,7,,,True,True,True,79.2,8.4,-0.62,100,False,0.08,2.1,0.4,677.1,679.6,"Great job, keep it up!"
1790365970595,1790365971299.0,auto,lunge,lunge,0.956,8,,,True,True,True,83.9,11.7,-0.6,100,False,0.04,1.5,0.5,702.0,704.0,"Great job, keep the form strong!"
1790365973267,1790365973923.6,auto,lunge,lunge,0.956,9,,,True,True,True,81.2,11.2,-0.67,100,False,0.06,2.0,0.4,654.1,656.6,"Great form, keep it up!"
1790365976584,1790365977526.4,auto,lunge,lunge,0.958,10,,,True,True,True,80.2,14.0,-0.53,100,False,0.06,1.5,0.4,940.4,942.4,"Great job on that lunge, keep the momentum going!"
1790366009183,1790366009839.4,auto,squat,squat,0.918,11,,,True,True,,71.2,38.7,,100,False,0.06,1.9,0.6,653.9,656.4,"Great form, keep it up!"
1790366012501,1790366013441.7,auto,squat,squat,0.972,12,,,True,True,,69.8,32.1,,100,False,0.02,1.5,0.2,939.0,940.7,"Great job, keep pushing through, you're doing fantastic!"
1790366016546,1790366017138.3,auto,squat,squat,0.951,13,,,True,True,,69.4,34.9,,100,False,0.03,1.1,0.3,590.8,592.3,"Excellent form, keep pushing!"
